company_name,phase,query_or_url,backend_used,success,error_message,extracted_data_json,raw_html_snippet,timestamp
SmithRx,1.1_official_url,SmithRx official website,serper,True,,"{""official_url"": ""https://smithrx.com""}","• [SmithRx: Radically Transparent Pharmacy Benefits](https://smithrx.com/)   SmithRx: the #1 modern PBM. We empower leading organizations to control their pharmacy spend through our radically transparent, 100% pass-through model. • [SmithRx Member Portal](https://member.mysmithrx.com/login)   Member Portal. Access your SmithRx account. Continue. • [[PDF] SmithRx Member Welcome Packet_May 2025](https://www.prevea.com/getmedia/460d58f5-7aa4-4e89-8619-9fdd4cb2f3f3/SmithRx-Member-Welcome-Packet.pdf)   You can also chat with our team directly from our website, www.smithrx.com, call. SmithRx Member ",2026-06-16T06:38:50.135909
SmithRx,1.2_linkedin,"site:linkedin.com/company ""SmithRx""",serper,True,,"{""linkedin_url"": ""https://www.linkedin.com/company/smithrx"", ""industry"": ""Hospitals and Health Care"", ""description"": ""SmithRx is a transparent, pass-through pharmacy benefits manager for self-insured employers, operating independently from insurers and pharmacies."", ""employee_count_estimate"": ""501-1,000 employees""}","• [SmithRx - LinkedIn](https://www.linkedin.com/company/smithrx)   SmithRx is a transparent, pass-through pharmacy benefits manager for self-insured employers. We operate independently from insurance companies and pharmacies. • [SmithRx | 领英](https://cn.linkedin.com/company/smithrx)   关于我们 ; 网站: http://www.smithrx.com/. SmithRx的外部链接 ; 所属行业: 医院和医疗保健 ; 规模: 501-1,000 人 ; 总部: San Francisco，CA ; 类型: 私人持股. • [SmithRx | LinkedIn](https://jp.linkedin.com/company/smithrx?trk=similar-pages_result-card_full-click)   SmithRx is a transparent, pass-through pharmacy benefits manager for self-insured employe",2026-06-16T06:38:57.742087
SmithRx,2.1_public_market,"""SmithRx"" (ticker OR ""market cap"" OR site:finance.yahoo.com OR site:marketwatch.com)",serper,True,,"{""is_public"": false, ""ticker"": null, ""exchange"": null, ""market_cap"": null}","• [Invest In SmithRx Stock | Buy Pre-IPO Shares - EquityZen](https://equityzen.com/company/smithrx/)   SmithRx Stock (SMRX). SmithRx is reinventing PBMs with modern technology, client alignment, and 100% transparency. Invest NowSell Shares ... • [Invest and Sell SmithRx Stock - Forge Global](https://forgeglobal.com/smithrx_stock/)   SmithRx is a privately held company and therefore does not have a public stock price. However, you may access SmithRx private market stock price ... • [Sell or Invest in SmithRx Stock Pre-IPO - Nasdaq Private Market](https://www.nasdaqprivatemarket.com/company/smit",2026-06-16T06:39:03.800710
SmithRx,2.2_funding,"""SmithRx"" (crunchbase OR ""funding round"" OR ""series A"" OR ""annual revenue"" OR ""Q3 results"" OR ""Q4 results"" OR ""earnings report"" OR ""raised"")",serper,True,,"{""has_funding"": true, ""total_funding"": ""$89M"", ""stage"": ""series_c_plus"", ""investors"": [""Venrock"", ""Founders Fund""]}","• [SmithRx - Crunchbase Company Profile & Funding](https://www.crunchbase.com/organization/smithrx)   SmithRx is a pharmacy benefits partner built on a modern technology platform that creates new levels of flexibility, efficiency, and customer satisfaction. • [Series C - SmithRx - Crunchbase Funding Round Profile](https://www.crunchbase.com/funding_round/smithrx-series-c--322e4b5b)   Announced Date. obfuscated. obfuscation ; Closed On Date. obfuscated. obfuscation ; Funding Type Series C ; Funding Stage Late Stage Venture ; Money Raised. • [News - SmithRx](https://smithrx.com/news)   SmithRx C",2026-06-16T06:39:18.611906
SmithRx,2.3_customers,"site:smithrx.com (""trusted by"" OR ""customers"" OR ""teams relying on"" OR ""clients"" OR ""case studies"" OR ""success stories"" OR ""investor relations"" OR ""annual report"")",serper,True,,"{""customer_count_estimate"": ""unknown; client/customer count not disclosed"", ""size_signal"": ""mid_market"", ""evidence"": ""Search results mention SmithRx is 'Trusted by employers, brokers, and members' and that 'SmithRx customers consistently save 20%'; a Jan 2025 post says they 'onboarded 30% more clients compared to January 2024.' No specific customer count or notable client logos were visible in the provided results.""}","• [SmithRx: Radically Transparent Pharmacy Benefits](https://smithrx.com/)   Trusted by employers, brokers, and members for transparent pricing, seamless management, and unmatched support. ... SmithRx customers consistently save 20% or ... • [Pass-Through Pricing in Traditional PBMs - SmithRx](https://smithrx.com/blog/why-pass-through-clients-of-traditional-pbms-lose-big)   Big PBMs offer clients ""pass-through"" pricing deals. Big PBMs like OptumRx, Caremark, Prime, and Express Scripts have heard the market demand ... • [Client Cross-Subsidization: The Hidden Cost of “Preferred” Pricing](https:",2026-06-16T06:39:33.799070
SmithRx,3.1_job_postings,"(site:greenhouse.io OR site:boards.greenhouse.io OR site:jobs.lever.co OR site:*.myworkdayjobs.com OR site:jobs.taleo.net OR site:icims.com OR site:careers.smartrecruiters.com OR site:successfactors.com OR site:wellfound.com/company OR site:jobs.ashbyhq.com) ""SmithRx"" careers",serper,True,,"{""has_openings"": true, ""job_titles"": [""Staff Data Engineer"", ""PBM Data Analyst"", ""Software Engineer, AI, Platform"", ""Customer Trainer"", ""Partner Operations Specialist"", ""Marketing Data Analyst""], ""departments"": [""Engineering"", ""Data Analytics"", ""Customer Training"", ""Operations"", ""Marketing""], ""total_count"": 43}",• [Jobs at SmithRx - Greenhouse](http://job-boards.greenhouse.io/smithrx)   Current openings at SmithRx ... Level-up your career by having opportunities at SmithRx sent directly to your inbox. Create alert. Search. 43 jobs. • [Job Application for Staff Data Engineer at SmithRx - Greenhouse](http://job-boards.greenhouse.io/smithrx/jobs/8483880002)   Create a Job Alert. Interested in building your career at SmithRx? Get future opportunities sent straight to your email. Create alert. Apply for this job. *. • [Job Application for PBM Data Analyst at SmithRx - Greenhouse](https://job-boards.greenho,2026-06-16T06:39:47.590602
SmithRx,3.2_expansion_news,"""SmithRx"" (expansion OR ""new office"" OR ""new market"" OR ""new headquarters"" OR ""hiring"" OR ""growing team"" OR ""series"" OR ""acqui"") after:2024-01-01",serper,True,,"{""has_signals"": true, ""news_headlines"": [""Transcarent Expands WayFinding™ Platform with SmithRx to Offer More Options for Pharmacy Pricing Transparency and Lower Drug Costs to Employers"", ""SmithRx Jobs (June 2026) - Startup Jobs"", ""SMITHRX Jobs in Plano, TX (Now Hiring) Jun 2026 - ZipRecruiter""], ""signal_types"": [""expanding"", ""hiring""], ""summary"": ""SmithRx shows growth through a 2026 Transcarent platform partnership and active hiring across multiple roles and locations.""}","• [News - SmithRx](https://smithrx.com/news)   SmithRx Continues to Fix Broken Pharmacy Benefits Management System, Closes $60M in Series C Funding Led by Venrock. Read about our most recent funding round ... • [Director of Project Management - SmithRx - LinkedIn](https://www.linkedin.com/jobs/view/director-of-project-management-at-smithrx-4399212087)   SmithRx is a rapidly growing, venture-backed Health-Tech company. Our mission is to disrupt the expensive and inefficient Pharmacy Benefit Management (PBM) ... • [UnitedAg - SmithRx](https://smithrx.com/blog/unitedag)   Learn how SmithRx and Un",2026-06-16T06:40:04.690121
SmithRx,4.0_synthesis,[LLM synthesis - no search],llm,True,,"{""summary"": ""SmithRx is a strong mid-market healthcare technology prospect with significant Series C+ funding and clear growth momentum. The company is expanding its pharmacy benefits management platform through partnerships and appears to be investing in data, AI, analytics, operations, and customer enablement roles. Its transparent PBM model serving self-insured employers suggests ongoing needs around scalable data infrastructure, operational efficiency, customer training, and partner ecosystem support. Overall, the active hiring and expansion signals indicate a timely opportunity for outreach."", ""icp_score"": 8, ""recommended_action"": ""reach_out"", ""key_buying_signals"": [""Series C+ company with $89M in funding and mid-market scale"", ""Active hiring for data engineering, AI platform, PBM analytics, partner operations, and customer training roles""]}",,2026-06-16T06:40:12.736998
Chronosphere,1.1_official_url,Chronosphere official website,serper,True,,"{""official_url"": ""https://chronosphere.io/""}","• [Chronosphere | Observability Purpose Built for Kubernetes](https://chronosphere.io/)   Chronosphere is the world's most reliable observability platform for microservices and containers. Find and fix customer-impacting issues faster, and stop ... • [Chronosphere documentation - Chronosphere Documentation](https://docs.chronosphere.io/)   A SaaS-based observability and monitoring platform made for cloud-native infrastructures. Monitor telemetry data across your entire system to identify and ... • [Chronosphere](https://chronosphere.in/)   Launched in 2025 by Macro Vision Academy, Chronosphere",2026-06-16T06:38:45.624739
Chronosphere,1.2_linkedin,"site:linkedin.com/company ""Chronosphere""",serper,True,,"{""linkedin_url"": ""https://www.linkedin.com/company/chronosphereio"", ""industry"": ""Software Development"", ""description"": ""Chronosphere, a Palo Alto Networks Company, is the observability platform built for control in the modern, containerized world."", ""employee_count_estimate"": """"}","• [Chronosphere - LinkedIn](https://www.linkedin.com/company/chronosphereio)   Chronosphere, a Palo Alto Networks Company, is the observability platform built for control in the modern, containerized world. • [Chronosphere | LinkedIn](https://es.linkedin.com/company/chronosphereio?trk=similar-pages_result-card_full-click)   Chronosphere, a Palo Alto Networks Company, is the observability platform built for control in the modern, containerized world. • [Chronosphere: Culture - LinkedIn](https://www.linkedin.com/company/chronosphereio/life)   Chronosphere is the only cloud native observability s",2026-06-16T06:38:52.366939
